image_url,Latitude,Longitude
https://drive.google.com/open?id=1k1aAIbXY-u8BJNOUceYigrL1OULhpZ-_,18.456588,73.920834
https://drive.google.com/open?id=1g4utc3XW7IpN2nwPw6Srq9SZECB-Dqe9,18.456576,73.918898
https://drive.google.com/open?id=1sXj8oQD-OuKyewHS4VgHULLUlpHs4V3P,18.454684,73.918395
https://drive.google.com/open?id=1HQUsICj95Ep6WiXwjbUNEUH3g2UW3W29,18.455347,73.920007
https://drive.google.com/open?id=1DCy5ilDtImgp84uEkFNI72aIhnAiqOmI,18.449046,73.918579
https://drive.google.com/open?id=1lmugZP7d6sh9LcGB3ZnUtUg8ZO3jPIna,18.516854,73.834037
https://drive.google.com/open?id=10qIODqRdp33zbDaBcCw1IYXIuEwLX_tf,18.532242,73.837397
https://drive.google.com/open?id=1P2hCrEm5rDI-6yZgaiZQiLbx-cC1Xwcv,18.516435,73.837195
https://drive.google.com/open?id=1XmD-UY6HJUgDi7CtZ0bKH7A8jZFvUXTh,18.534998,73.828053
https://drive.google.com/open?id=1pMWsW2QGEJscFNDY8NH9l-mr3dzwA2v1,18.534832,73.828206
https://drive.google.com/open?id=1agMW5Zlpr9ULzibliA-Rem3BUUGod4fS,18.54224,73.832979
https://drive.google.com/open?id=1j4WVgSE8iyi3Ws1JWQFF0fX1IkD8nQT0,18.543772,73.833541
https://drive.google.com/open?id=1TNy6W3MABOWAw3E7EOilq6UttNqDw_uy,18.544047,73.836556
https://drive.google.com/open?id=1tieeuTCl42Y_4i5t-Ek4HmIkNqJu_Uvw,18.542864,73.836722
https://drive.google.com/open?id=1CPEFdP9ReHER2FyYTV6XJDOTWF5kxxve,18.514131,73.83799
https://drive.google.com/open?id=1y-LP9pghPlNCFU-vS_VBrNpDc7LxqqAR,18.525058,73.824603
https://drive.google.com/open?id=1qr9xY0f7U2mztSGNi18xAZkyMCrgOagu,18.527083,73.830529
https://drive.google.com/open?id=1V9rf-LDR8UVfYCf_SzjqtZw2gUHjWbSH,18.525588,73.82892
https://drive.google.com/open?id=1wVeBvJwzAdmw8gXTQzECdx9F85sn-4IZ,18.537827,73.833664
https://drive.google.com/open?id=1pWxGfQ1DbMlBpytHE_e0DbYkkrCTCij4,18.532943,73.826182
https://drive.google.com/open?id=1fXa2WVEBESqYVWIFNbX0Swrsf6unvmOr,18.52662,73.828512
https://drive.google.com/open?id=1HmdaznykYughwuHzhaKNoByZC4x85HEu,18.533603,73.831221
https://drive.google.com/open?id=1TKu-1aHvmr1Gx1BrIucie-wBPdy2UBOR,18.49831,73.802468
https://drive.google.com/open?id=1a1jCg6f7McD_LY6varXy4Fxbqdv1HO40,18.496822,73.801923
https://drive.google.com/open?id=1u2nLNsMJqWLiAMLzw_1IqR5WrTKqpClE,18.505074,73.812049
https://drive.google.com/open?id=10QgVwI4uOz9JCUjjWGt7ioBwSgwtIsY5,18.509405,73.823495
https://drive.google.com/open?id=1-0mfls1ng77FCuZxiRE_-000LVrgh4Qn,18.498478,73.804061
https://drive.google.com/open?id=1Ua-9q8MknVar-gM2OeXRU_V1g6jK7JHN,18.49526,73.808559
https://drive.google.com/open?id=15TCt6T40knvzKhyt0j13pTzLqQCM-LVj,18.498148,73.803988
https://drive.google.com/open?id=1wio01ep28EsYFem61yGSB8NWMeUwd8fm,18.499485,73.809638
https://drive.google.com/open?id=1PTeTqZd-cUX_NtfpMsmZ0IhWuAVKBx_W,18.500143,73.803142
https://drive.google.com/open?id=1e-VozPJSUv4_4WCvdNzDlsZq8fHt7lMz,18.50566,73.814854
https://drive.google.com/open?id=1pelYxNpqlygwdml38Hs9RrOZPs7qA1Vw,18.508717,73.81677
https://drive.google.com/open?id=1UpvCQnJnGV37-XlaRQcyuCng_04HfQF5,18.510894,73.77713
https://drive.google.com/open?id=1uOwJbDnt3SlUOdrygXjweu_CEVVJmADl,18.511077,73.777244
https://drive.google.com/open?id=153q4OxyW_DEJHrpT_MIAHM2Scotj5hPM,18.522352,73.762073
https://drive.google.com/open?id=1kHo6OegmNYdI6SgryZ-hfzpWJxcbyoW_,18.511555,73.774194
https://drive.google.com/open?id=1n-WahAxPpf5AYxAq1nB-k0hbKXHpJXc5,18.522917,73.768374
https://drive.google.com/open?id=1oyqJ7BI4C53oohSRqm7AiLp4vD87YNcl,18.512767,73.807535
https://drive.google.com/open?id=1SF1sl_MJwUbPIKa0l04_X4SVf1HtPbVb,18.513789,73.815927
https://drive.google.com/open?id=1azk1k3FkbuLv7Vdt5bXDbBgIaGBJjJN2,18.518686,73.817433
https://drive.google.com/open?id=1qEHx_CDAjl4OHmuZyhG7e7ECc7RXhf5g,18.514652,73.816065
https://drive.google.com/open?id=1kW9yiMjfFRiSFtk75is9_99lT_nXT_rT,18.511964,73.790311
https://drive.google.com/open?id=1qmMZ0EtGVHIhyQrtGl0g3ancAHAz4iMl,18.509154,73.793171
https://drive.google.com/open?id=1UXcWzi2mVV0B3pPoq4-wsrI8-qjkLwBs,18.511476,73.790725
https://drive.google.com/open?id=1uc0R3VTo6HzsrSCQrWh6907ZLb6TFvpJ,18.507316,73.769378
https://drive.google.com/open?id=1_LcoZWWtX_Q_GFhc446nZ4_xsdrwcEH2,18.510521,73.798107
https://drive.google.com/open?id=1xmap4NliH5DshAPaYrATZ1z0BBr_p_VG,18.501965,73.794602
https://drive.google.com/open?id=1OJSAiR3-x92ObeI4sst-IVFu2W1iAEty,18.500908,73.795654
https://drive.google.com/open?id=1U-X_C0rVoUFg15JUVLo2qznpkAH6KLf7,18.498086,73.792532
https://drive.google.com/open?id=1OXcp29V5YjxL1z3KJN7kCrJGEv6ylCEx,18.496971,73.797784
https://drive.google.com/open?id=1VKziAfWWwJwL82lchYJ3Z97wdChygLkN,18.522472,73.775946
https://drive.google.com/open?id=1ovUwj-b6vlCG5H8LXcr5WnhSNd1X3NMJ,18.521472,73.775027
https://drive.google.com/open?id=1SK_H-OgVUBJhBOuGrmnxlvPblR1jvR4D,18.54235,73.889316
https://drive.google.com/open?id=10PqkdciAcHFzS91ka1gUO7kLtOyRBKlZ,18.529324,73.905435
https://drive.google.com/open?id=116kU_lS_mKrvk8e8R2_YnNzMXBeqEY6g,18.522722,73.909309
https://drive.google.com/open?id=1XlabdqRqFsjsRI-8bqy9wx806yqdkz7i,18.529324,73.905435
https://drive.google.com/open?id=1e7ZfJmq_bcq5Gf-rO5Oz-XZ44dALxvSE,18.516749,73.906748
https://drive.google.com/open?id=1Ez0CqPYRDLMBMW_yl_-ONz8hcVbukj5n,18.522025,73.904949
https://drive.google.com/open?id=1-9mXwXyf-xYe7fFP67hci-ZKm9uo0gUR,18.535924,73.897248
https://drive.google.com/open?id=1iACP9jJw4ZhSmHB17oOy-ZO770UrntJ3,18.534547,73.885111
https://drive.google.com/open?id=1NsK3U4bO4XFvSOXENIZAa5lqCjB2WQPs,18.533355,73.900343
https://drive.google.com/open?id=12JHcDOlCmV_IpiDoiU1ipxc4h27u9ryj,18.530728,73.911567
https://drive.google.com/open?id=10GO6bKtEK7IMsn4DxnqgTsJHfG8IWskp,18.531415,73.90054
https://drive.google.com/open?id=1bfmBuLLH7CzQiSgcoQPiPs3f2bAGM3_u,18.530897,73.910989
https://drive.google.com/open?id=1h42uqqDMtakVroXDTjGeDxfA0o0bYuE9,18.538498,73.898509
https://drive.google.com/open?id=1iEH9JONn5iFBuGMdIubzjzgIa9ckO7kT,18.536671,73.886533
https://drive.google.com/open?id=1f10EpAcLuujKyhAVHZCdSQgjXYURrMK_,18.536036,73.875405
https://drive.google.com/open?id=1FdAmpk7P14WuhIYwDHgGFMJqeLKYXifO,18.518259,73.873211
https://drive.google.com/open?id=1rcXHbo7IT62sLcTpwkSdMGZX7mbN989V,18.520261,73.907344
https://drive.google.com/open?id=1UEhjDm1FnE8aWZKWcYdg7Nnd7SSFlaoK,18.449911,73.8397
https://drive.google.com/open?id=1pUjt0bWweK3qoYhta3iq6vDOZKxU9GG7,18.449891,73.838279
https://drive.google.com/open?id=1IF9CUVyrGMdbZiJKKM5eCffKf1BECYte,18.449867,73.84004
https://drive.google.com/open?id=1dTgBQFuaoz9dMafpQMVaONHiq4LVYysF,18.456312,73.834806
https://drive.google.com/open?id=1D1vnwhmZOvhG8K9sGClWb5PbxObxI9pI,18.456828,73.832891
https://drive.google.com/open?id=1uxKGaI9_JFQqUVLehzIRK7qghdXxKCbA,18.458513,73.832618
https://drive.google.com/open?id=1TR5S7kTsyiqweskqDkLWvhyEuQMyaA-i,18.541551,73.928695
https://drive.google.com/open?id=1XRlhP-S4EV578l0-CoWHylGnoPBIATfJ,18.548976,73.918162
https://drive.google.com/open?id=1DRvDaYpdv75q19YcGsR4My5tX9o1UODY,18.546696,73.921441
https://drive.google.com/open?id=1ugWOq_h_LdvhlroeM0BpLnUv4iFejRmF,18.54939,73.9147194
https://drive.google.com/open?id=15hkxXUxWBcoUGnDrxGheTScpWDYpzQR0,18.550896,73.918913
https://drive.google.com/open?id=1q_qhiMKhj1JN0xYikpObaAbTNFfKJt9h,18.54593,73.909558
https://drive.google.com/open?id=1ZLg-rz3dFuHOlaNK-7jx3FCn7JaX2h_0,18.542641,73.928858
https://drive.google.com/open?id=1ZlUh49LSmaxH8kX8RdOc6mQRmiJqPg4b,18.542641,73.928858
https://drive.google.com/open?id=1c9EgNO_c0RlOtdMtdL3YFvUtoKJD_6MK,18.5426652,73.9281057
https://drive.google.com/open?id=1OtVuSuEvPm80Gaaj97NkiYNg6JLy1yzf,18.5479879,73.9060727
https://drive.google.com/open?id=1okzfkFrpXZkzloD373vQWdE3pIdyhCeN,18.573596,73.987008
https://drive.google.com/open?id=1UTwccNxj9YxxaPfeSg1Y1aM4Ft9kYY4V,18.574445,73.985733
https://drive.google.com/open?id=1sV5OD-6_QvGL6JzXcgSWoAh9kgW5228c,18.576313,73.984594
https://drive.google.com/open?id=1dqw2FrPaVjmdmQJU8xCcNZ5QEnJzry2q,18.578544,73.986362
https://drive.google.com/open?id=1Z1Krxz_aVctQNbzg0kYqOgvh8UHKDKin,18.570897,73.97511
https://drive.google.com/open?id=1HB0iWhTT74u2uHeDIayhI92sYUGcOzZv,18.550212,73.900143
https://drive.google.com/open?id=1Yf50_bX_C5fBDvYJNPuhlgvSLZxf7osx,18.549332,73.903400
https://drive.google.com/open?id=10eIJzgo8UdRzBIfrG-u7jEmtNOvKZ69b,18.551905,73.899800
https://drive.google.com/open?id=1fWCaucGas-v8ThB8Y0szyFKEasqqhj65,18.5686302,73.9128438
https://drive.google.com/open?id=1hT1uTHNG0W0K1SkMNUfifKOE9vKdnW0R,18.56387,73.910676
https://drive.google.com/open?id=1TGP9ZD8InmCG5Ya01YC5SqCfTnqttN62,18.573691,73.911549
https://drive.google.com/open?id=1-XDPnOt10dVotTuh-BB0Yl0j-Vm5X2jC,18.566968,73.911042
https://drive.google.com/open?id=19HOQbnDpluwHNPupQ2UQmpT7dwU9F-Rn,18.564315,73.91084
https://drive.google.com/open?id=1I7inF3FqI29kV0HQHnZYbQuJGJQe2juv,18.562143,73.907139
https://drive.google.com/open?id=1SSef0cQTCCgepqjz2pvZfWljFSKQq5Hh,18.569934,73.909709
https://drive.google.com/open?id=1KF8Mk7RkHxggj-dB5xD5xwlQ3DfJRwHJ,18.56303,73.913643
https://drive.google.com/open?id=1efqNX8p58tSCKpdomcMtQ5vzlJZTCf0o,18.572932,73.909035
https://drive.google.com/open?id=1iScELD4eQ3xJB1SoPlWIgwkBVmbG-wKv,18.561291,73.915749
https://drive.google.com/open?id=1-QmGCTMan7PSJV6Y8-APKS-ZhBUr_uid,18.56303,73.913643
https://drive.google.com/open?id=1hJTMhi19BGC-pJSxn6TOz9Nz2UZJQckS,18.562171,73.913325
https://drive.google.com/open?id=14z88jJwh70TMAdQyjr6fg_JL-YBvbf5l,18.54415,73.904033
https://drive.google.com/open?id=18lh_19QEAp21M_S2RhPb-wlRJ19UbnAk,18.542103,73.931276
https://drive.google.com/open?id=1w7tZLjdWpGrg1C9ZBwt-gx2Zp2KEhedx,18.545573,73.909425
https://drive.google.com/open?id=1cm9J2x4qyB35n0Ay_ao-w6upKhk7ngBw,18.575633,73.985226
https://drive.google.com/open?id=1tuKylYliccZnvHnU5Cp5HOlGGQt7tZAL,18.583307,73.99895
